# energy dos(up) dos(down)
-1.448925810000000070e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.448135809999999957e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.447345810000000021e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.446545809999999932e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.445755809999999997e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.444965810000000062e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.444165809999999972e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.443375810000000037e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.442585809999999924e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.441785810000000012e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.440995810000000077e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.440205809999999964e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.439405809999999875e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.438615809999999939e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.437825810000000004e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.437025810000000092e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.436235809999999979e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.435445809999999867e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.434645809999999955e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.433855810000000019e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.433065810000000084e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.432265809999999995e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.431475809999999882e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.430685809999999947e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.429885810000000035e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.429095810000000100e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.428305809999999987e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.427505809999999897e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.426715809999999962e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.425925810000000027e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.425125810000000115e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.424335810000000002e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.423545809999999889e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.422745809999999977e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.421955810000000042e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.421165810000000107e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.420365810000000018e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.419575809999999905e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.418785809999999969e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.417985810000000058e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.417195810000000122e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.416405810000000010e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.415605809999999920e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.414815809999999985e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.414025810000000050e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.413235810000000114e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.412435810000000025e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.411645809999999912e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.410855809999999977e+01 0.000000000000000000e+00 -0.000000000000000000e+00
